"","genotype","OTU","family","p.value","p.value.signif"
"1","WT","bOTU1009","Chitinophagaceae",0.420711591426888,"ns"
"2","bx1","bOTU1009","Chitinophagaceae",0.608739642661647,"ns"
"3","WT","bOTU104","Micrococcaceae",0.0519973528116244,"ns"
"4","bx1","bOTU104","Micrococcaceae",0.275410557981829,"ns"
"5","WT","bOTU118","Rhizobiaceae",0.00959437270225115,"**"
"6","bx1","bOTU118","Rhizobiaceae",0.0220118740346887,"*"
"7","WT","bOTU12","Rhizobiaceae",0.0127354150389824,"*"
"8","bx1","bOTU12","Rhizobiaceae",0.0938725287889099,"ns"
"9","WT","bOTU122","Micrococcaceae",0.00851504019909265,"**"
"10","bx1","bOTU122","Micrococcaceae",0.0720018698053294,"ns"
"11","WT","bOTU1240","Enterobacteriaceae",0.34293364992708,"ns"
"12","bx1","bOTU1240","Enterobacteriaceae",0.146881341109155,"ns"
"13","WT","bOTU14","Bacillaceae",0.0151803445260891,"*"
"14","bx1","bOTU14","Bacillaceae",0.0542373064621291,"ns"
"15","WT","bOTU143","Bacillaceae",0.0391151424525433,"*"
"16","bx1","bOTU143","Bacillaceae",0.0603581342710682,"ns"
"17","WT","bOTU15","Pseudomonadaceae",0.94336331104982,"ns"
"18","bx1","bOTU15","Pseudomonadaceae",0.47661944989463,"ns"
"19","WT","bOTU153","Microbacteriaceae",0.00125004644593389,"**"
"20","bx1","bOTU153","Microbacteriaceae",0.0404901560207498,"*"
"21","WT","bOTU158","Xanthomonadaceae",0.365040730351625,"ns"
"22","bx1","bOTU158","Xanthomonadaceae",0.168508606303712,"ns"
"23","WT","bOTU168","Oxalobacteraceae",0.212359747129204,"ns"
"24","bx1","bOTU168","Oxalobacteraceae",0.701746699212228,"ns"
"25","WT","bOTU1707","Oxalobacteraceae",0.732351281684286,"ns"
"26","bx1","bOTU1707","Oxalobacteraceae",0.950063599643675,"ns"
"27","WT","bOTU181","Moraxellaceae",0.00112942978311888,"**"
"28","bx1","bOTU181","Moraxellaceae",0.0284609656349717,"*"
"29","WT","bOTU184","Sphingomonadaceae",0.158137479073436,"ns"
"30","bx1","bOTU184","Sphingomonadaceae",0.137108746169548,"ns"
"31","WT","bOTU223","Pseudomonadaceae",0.445152689262337,"ns"
"32","bx1","bOTU223","Pseudomonadaceae",0.160809018962623,"ns"
"33","WT","bOTU243","Erwiniaceae",0.773352183161858,"ns"
"34","bx1","bOTU243","Erwiniaceae",0.293151169182507,"ns"
"35","WT","bOTU2841","Micrococcaceae",0.422034851936889,"ns"
"36","bx1","bOTU2841","Micrococcaceae",0.343436396137914,"ns"
"37","WT","bOTU3064","Sphingobacteriaceae",0.165221639419768,"ns"
"38","bx1","bOTU3064","Sphingobacteriaceae",0.923651860719153,"ns"
"39","WT","bOTU331","Nocardioidaceae",0.000213364667590456,"***"
"40","bx1","bOTU331","Nocardioidaceae",0.0502530807678535,"ns"
"41","WT","bOTU564","Bacillaceae",0.150863441767297,"ns"
"42","bx1","bOTU564","Bacillaceae",0.0798907421278367,"ns"
"43","WT","bOTU6","Streptomycetaceae",7.99064445826632e-06,"****"
"44","bx1","bOTU6","Streptomycetaceae",0.0135314374600735,"*"
"45","WT","bOTU62","Enterobacteriaceae",0.420349213276168,"ns"
"46","bx1","bOTU62","Enterobacteriaceae",0.180991483611497,"ns"
"47","WT","bOTU629","Paenibacillaceae",0.00107686321428331,"**"
"48","bx1","bOTU629","Paenibacillaceae",0.108214073067779,"ns"
"49","WT","bOTU717","Streptomycetaceae",0.000187629348026,"***"
"50","bx1","bOTU717","Streptomycetaceae",0.019973848455224,"*"
"51","WT","bOTU78","Microbacteriaceae",0.00355875326647702,"**"
"52","bx1","bOTU78","Microbacteriaceae",0.0633978460815608,"ns"
