"","Strain","OTU","family","Rank_WT"
"1","LMG2","bOTU6","Streptomycetaceae",1
"2","LMF1","bOTU6","Streptomycetaceae",1
"3","LWO6","bOTU15","Pseudomonadaceae",5
"4","LWO15","bOTU15","Pseudomonadaceae",5
"5","LPD12","bOTU15","Pseudomonadaceae",5
"6","LPD11","bOTU15","Pseudomonadaceae",5
"7","LMY1","bOTU15","Pseudomonadaceae",5
"8","LMX9","bOTU15","Pseudomonadaceae",5
"9","LMX4","bOTU15","Pseudomonadaceae",5
"10","LMX11","bOTU15","Pseudomonadaceae",5
"11","LMG2","bOTU19","Streptomycetaceae",6
"12","LMG1","bOTU19","Streptomycetaceae",6
"13","LMU1","bOTU168","Oxalobacteraceae",10
"14","LMS1","bOTU168","Oxalobacteraceae",10
"15","LWS11","bOTU14","Bacillaceae",15
"16","LMX8","bOTU14","Bacillaceae",15
"17","LMX1","bOTU14","Bacillaceae",15
"18","LMW1","bOTU14","Bacillaceae",15
"19","LMP1","bOTU14","Bacillaceae",15
"20","LMO1","bOTU14","Bacillaceae",15
"21","LMM1","bOTU14","Bacillaceae",15
"22","LMJ1","bOTU14","Bacillaceae",15
"23","LMH1","bOTU14","Bacillaceae",15
"24","LME2","bOTU14","Bacillaceae",15
"25","LME1","bOTU14","Bacillaceae",15
"26","LMA2","bOTU14","Bacillaceae",15
"27","LBA71","bOTU14","Bacillaceae",15
"28","LBA3","bOTU14","Bacillaceae",15
"29","LBA21","bOTU14","Bacillaceae",15
"30","LBA20","bOTU14","Bacillaceae",15
"31","LBA18","bOTU14","Bacillaceae",15
"32","LBA112","bOTU14","Bacillaceae",15
"33","LBA111","bOTU14","Bacillaceae",15
"34","LBA1","bOTU14","Bacillaceae",15
"35","LMU1","bOTU1707","Oxalobacteraceae",16
"36","LMS1","bOTU1707","Oxalobacteraceae",16
"37","LMZ1","bOTU1240","Enterobacteriaceae",18
"38","LMX9231","bOTU1240","Enterobacteriaceae",18
"39","LMX92","bOTU1240","Enterobacteriaceae",18
"40","LME3","bOTU1240","Enterobacteriaceae",18
"41","LRH8.O","bOTU12","Rhizobiaceae",25
"42","LRH13","bOTU12","Rhizobiaceae",25
"43","LRH12","bOTU12","Rhizobiaceae",25
"44","LRH11","bOTU12","Rhizobiaceae",25
"45","LRC7.S","bOTU12","Rhizobiaceae",25
"46","LRC7.O","bOTU12","Rhizobiaceae",25
"47","LMS1","bOTU262","Oxalobacteraceae",41
"48","LWO15","bOTU1612","Pseudomonadaceae",50
"49","LPD12","bOTU1612","Pseudomonadaceae",50
"50","LPD11","bOTU1612","Pseudomonadaceae",50
"51","LMY1","bOTU1612","Pseudomonadaceae",50
"52","LMX9","bOTU1612","Pseudomonadaceae",50
"53","LMX4","bOTU1612","Pseudomonadaceae",50
"54","LWH5","bOTU122","Micrococcaceae",53
"55","LPA21","bOTU122","Micrococcaceae",53
"56","LPA2","bOTU122","Micrococcaceae",53
"57","LMX5","bOTU122","Micrococcaceae",53
"58","LMD2","bOTU122","Micrococcaceae",53
"59","LMD1","bOTU122","Micrococcaceae",53
"60","LBS1","bOTU122","Micrococcaceae",53
"61","LAR21","bOTU122","Micrococcaceae",53
"62","LWO5","bOTU78","Microbacteriaceae",62
"63","LWO14","bOTU78","Microbacteriaceae",62
"64","LWO13","bOTU78","Microbacteriaceae",62
"65","LWO12","bOTU78","Microbacteriaceae",62
"66","LWH13","bOTU78","Microbacteriaceae",62
"67","LWH12","bOTU78","Microbacteriaceae",62
"68","LWH11","bOTU78","Microbacteriaceae",62
"69","LWH10","bOTU78","Microbacteriaceae",62
"70","LMX7","bOTU78","Microbacteriaceae",62
"71","LMX6","bOTU78","Microbacteriaceae",62
"72","LMX3","bOTU78","Microbacteriaceae",62
"73","LMX2","bOTU78","Microbacteriaceae",62
"74","LMI81","bOTU78","Microbacteriaceae",62
"75","LMI62","bOTU78","Microbacteriaceae",62
"76","LMI522","bOTU78","Microbacteriaceae",62
"77","LMI51","bOTU78","Microbacteriaceae",62
"78","LMI32","bOTU78","Microbacteriaceae",62
"79","LMI2x","bOTU78","Microbacteriaceae",62
"80","LMI22","bOTU78","Microbacteriaceae",62
"81","LMI1x","bOTU78","Microbacteriaceae",62
"82","LMI18","bOTU78","Microbacteriaceae",62
"83","LMI17","bOTU78","Microbacteriaceae",62
"84","LMI15","bOTU78","Microbacteriaceae",62
"85","LMI14","bOTU78","Microbacteriaceae",62
"86","LMI13","bOTU78","Microbacteriaceae",62
"87","LMI121","bOTU78","Microbacteriaceae",62
"88","LMI112","bOTU78","Microbacteriaceae",62
"89","LMI111","bOTU78","Microbacteriaceae",62
"90","LMI11","bOTU78","Microbacteriaceae",62
"91","LMI1","bOTU78","Microbacteriaceae",62
"92","LMB2","bOTU78","Microbacteriaceae",62
"93","LBO3","bOTU78","Microbacteriaceae",62
"94","LBO11","bOTU78","Microbacteriaceae",62
"95","LMG2","bOTU717","Streptomycetaceae",74
"96","LMG1","bOTU717","Streptomycetaceae",74
"97","LST82","bOTU158","Xanthomonadaceae",75
"98","LST72","bOTU158","Xanthomonadaceae",75
"99","LST61","bOTU158","Xanthomonadaceae",75
"100","LST60","bOTU158","Xanthomonadaceae",75
"101","LST521","bOTU158","Xanthomonadaceae",75
"102","LST52","bOTU158","Xanthomonadaceae",75
"103","LST28","bOTU158","Xanthomonadaceae",75
"104","LST27","bOTU158","Xanthomonadaceae",75
"105","LST25","bOTU158","Xanthomonadaceae",75
"106","LST24","bOTU158","Xanthomonadaceae",75
"107","LST23","bOTU158","Xanthomonadaceae",75
"108","LST22","bOTU158","Xanthomonadaceae",75
"109","LST21","bOTU158","Xanthomonadaceae",75
"110","LST20","bOTU158","Xanthomonadaceae",75
"111","LST19","bOTU158","Xanthomonadaceae",75
"112","LST18","bOTU158","Xanthomonadaceae",75
"113","LST17","bOTU158","Xanthomonadaceae",75
"114","LST16","bOTU158","Xanthomonadaceae",75
"115","LST15","bOTU158","Xanthomonadaceae",75
"116","LST14","bOTU158","Xanthomonadaceae",75
"117","LST13","bOTU158","Xanthomonadaceae",75
"118","LST12","bOTU158","Xanthomonadaceae",75
"119","LST11","bOTU158","Xanthomonadaceae",75
"120","LMZ1","bOTU62","Enterobacteriaceae",82
"121","LMX9231","bOTU62","Enterobacteriaceae",82
"122","LMX92","bOTU62","Enterobacteriaceae",82
"123","LME3","bOTU62","Enterobacteriaceae",82
"124","LAR12","bOTU104","Micrococcaceae",88
"125","LWO15","bOTU223","Pseudomonadaceae",98
"126","LST26","bOTU223","Pseudomonadaceae",98
"127","LPD34","bOTU223","Pseudomonadaceae",98
"128","LPD33","bOTU223","Pseudomonadaceae",98
"129","LPD32","bOTU223","Pseudomonadaceae",98
"130","LPD22","bOTU223","Pseudomonadaceae",98
"131","LPD21","bOTU223","Pseudomonadaceae",98
"132","LPD2","bOTU223","Pseudomonadaceae",98
"133","LPD121","bOTU223","Pseudomonadaceae",98
"134","LPD12","bOTU223","Pseudomonadaceae",98
"135","LPD11","bOTU223","Pseudomonadaceae",98
"136","LPB4.O","bOTU223","Pseudomonadaceae",98
"137","LMX9","bOTU223","Pseudomonadaceae",98
"138","LMX4","bOTU223","Pseudomonadaceae",98
"139","LWS15","bOTU143","Bacillaceae",102
"140","LWS1","bOTU143","Bacillaceae",102
"141","LMW1","bOTU143","Bacillaceae",102
"142","LMJ1","bOTU143","Bacillaceae",102
"143","LMH1","bOTU143","Bacillaceae",102
"144","LBA71","bOTU143","Bacillaceae",102
"145","LBA3","bOTU143","Bacillaceae",102
"146","LBA18","bOTU143","Bacillaceae",102
"147","LBA112","bOTU143","Bacillaceae",102
"148","LBA111","bOTU143","Bacillaceae",102
"149","LBA1","bOTU143","Bacillaceae",102
"150","LMQ1","bOTU118","Rhizobiaceae",103
"151","LWS13","bOTU153","Microbacteriaceae",104
"152","LWO8","bOTU153","Microbacteriaceae",104
"153","LWO2","bOTU153","Microbacteriaceae",104
"154","LWH7","bOTU153","Microbacteriaceae",104
"155","LWH3","bOTU153","Microbacteriaceae",104
"156","LWH1","bOTU153","Microbacteriaceae",104
"157","LMX3","bOTU153","Microbacteriaceae",104
"158","LMI21","bOTU153","Microbacteriaceae",104
"159","LMI12","bOTU153","Microbacteriaceae",104
"160","LBO1","bOTU153","Microbacteriaceae",104
"161","LMX3","bOTU388","Microbacteriaceae",131
"162","LWS2","bOTU1277","Sphingomonadaceae",143
"163","LPE13","bOTU629","Paenibacillaceae",156
"164","LMK1","bOTU243","Erwiniaceae",167
"165","LMC1","bOTU243","Erwiniaceae",167
"166","LAC11","bOTU181","Moraxellaceae",171
"167","LWS11","bOTU564","Bacillaceae",220
"168","LMO1","bOTU564","Bacillaceae",220
"169","LMJ1","bOTU564","Bacillaceae",220
"170","LME1","bOTU564","Bacillaceae",220
"171","LMA2","bOTU564","Bacillaceae",220
"172","LMX8","bOTU2950","Bacillaceae",316
"173","LML1","bOTU331","Nocardioidaceae",348
"174","LMS1","bOTU1074","Oxalobacteraceae",363
"175","LMQ1","bOTU3247","Rhizobiaceae",456
"176","LMC3","bOTU184","Sphingomonadaceae",495
"177","LMX8","bOTU362","Bacillaceae",564
"178","LMX1","bOTU362","Bacillaceae",564
"179","LME2","bOTU362","Bacillaceae",564
"180","LME1","bOTU362","Bacillaceae",564
"181","LMN1","bOTU1009","Chitinophagaceae",1204
"182","LMV1","bOTU2841","Micrococcaceae",1450
"183","LMX3","bOTU1503","Microbacteriaceae",1557
"184","LMT1","bOTU3064","Sphingobacteriaceae",1986
"185","LMX3","bOTU3420","Microbacteriaceae",2456
